id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,compound_db_identity:compound_db_identity,compound_db_identity:compound_name,compound_db_identity:mol_formula,compound_db_identity:adduct,compound_db_identity:precursor_mz,compound_db_identity:mz_diff_ppm,compound_db_identity:neutral_mass,compound_db_identity:isotope_pattern_score,datafile:HODA_6008-77-2_10mgmL.raw:feature_state,datafile:HODA_6008-77-2_10mgmL.raw:mz,datafile:HODA_6008-77-2_10mgmL.raw:mz_range:min,datafile:HODA_6008-77-2_10mgmL.raw:mz_range:max,datafile:HODA_6008-77-2_10mgmL.raw:rt,datafile:HODA_6008-77-2_10mgmL.raw:rt_range:min,datafile:HODA_6008-77-2_10mgmL.raw:rt_range:max,datafile:HODA_6008-77-2_10mgmL.raw:height,datafile:HODA_6008-77-2_10mgmL.raw:area,datafile:HODA_6008-77-2_10mgmL.raw:intensity_range:min,datafile:HODA_6008-77-2_10mgmL.raw:intensity_range:max,datafile:HODA_6008-77-2_10mgmL.raw:fwhm,datafile:HODA_6008-77-2_10mgmL.raw:tailing_factor,datafile:HODA_6008-77-2_10mgmL.raw:asymmetry_factor,datafile:HODA_6008-77-2_10mgmL.raw:fragment_scans,datafile:HODA_6008-77-2_10mgmL.raw:compound_name,datafile:HODA_6008-77-2_10mgmL.raw:isotopes,datafile:HODA_6008-77-2_10mgmL.raw:isotope_pattern_score
1,2.12,2.06,2.19,699.1716,699.1714,699.1718,2.9E4,2.2E3,2.8E3,2.9E4,0,,,,,,,,,DETECTED,699.1716,699.1714,699.1718,2.12,2.06,2.19,2.9E4,2.2E3,2.8E3,2.9E4,0.08,1.17,1.33,0,,,
2,2.12,2.06,2.20,700.1714,700.1704,700.1717,4.5E4,3.5E3,1.6E3,4.5E4,0,,,,,,,,,DETECTED,700.1714,700.1704,700.1717,2.12,2.06,2.20,4.5E4,3.5E3,1.6E3,4.5E4,0.08,1.23,1.32,0,,,
3,2.12,2.06,2.20,701.1731,701.1727,701.1733,3.9E4,3.1E3,1.5E3,3.9E4,0,,,,,,,,,DETECTED,701.1731,701.1727,701.1733,2.12,2.06,2.20,3.9E4,3.1E3,1.5E3,3.9E4,0.08,1.23,1.33,0,,,
4,2.12,2.06,2.20,702.1732,702.1725,702.1734,5.6E4,4.4E3,2.0E3,5.6E4,0,,,,,,,,,DETECTED,702.1732,702.1725,702.1734,2.12,2.06,2.20,5.6E4,4.4E3,2.0E3,5.6E4,0.08,1.22,1.31,0,,,
5,2.12,2.06,2.17,703.1766,703.1764,703.1771,1.2E4,8.9E2,2.3E3,1.2E4,0,,,,,,,,,DETECTED,703.1766,703.1764,703.1771,2.12,2.06,2.17,1.2E4,8.9E2,2.3E3,1.2E4,0.08,1.00,1.00,0,,,
6,2.12,2.06,2.20,704.1757,704.1756,704.1758,4.3E4,3.4E3,1.7E3,4.3E4,0,,,,,,,,,DETECTED,704.1757,704.1756,704.1758,2.12,2.06,2.20,4.3E4,3.4E3,1.7E3,4.3E4,0.08,1.33,1.34,0,,,
7,2.12,2.06,2.17,705.1793,705.1790,705.1796,9.9E3,7.4E2,2.1E3,9.9E3,0,,,,,,,,,DETECTED,705.1793,705.1790,705.1796,2.12,2.06,2.17,9.9E3,7.4E2,2.1E3,9.9E3,0.08,1.00,1.00,0,,,
8,2.22,2.17,2.29,673.1604,673.1599,673.1621,1.8E4,1.5E3,4.5E3,1.8E4,0,,,,,,,,,DETECTED,673.1604,673.1599,673.1621,2.22,2.17,2.29,1.8E4,1.5E3,4.5E3,1.8E4,0.08,1.16,1.31,0,,,
9,2.22,2.17,2.29,675.1622,675.1610,675.1623,2.4E4,1.9E3,5.8E3,2.4E4,0,,,,,,,,,DETECTED,675.1622,675.1610,675.1623,2.22,2.17,2.29,2.4E4,1.9E3,5.8E3,2.4E4,0.09,1.16,1.31,0,,,
10,2.33,2.29,2.46,515.1743,515.1739,515.1745,8.0E3,7.8E2,1.3E3,8.0E3,0,,,,,,,,,DETECTED,515.1743,515.1739,515.1745,2.33,2.29,2.46,8.0E3,7.8E2,1.3E3,8.0E3,0.09,2.02,3.05,0,,,
11,2.33,2.29,2.47,649.1647,649.1644,649.1650,1.0E4,1.2E3,1.6E3,1.0E4,0,,,,,,,,,DETECTED,649.1647,649.1644,649.1650,2.33,2.29,2.47,1.0E4,1.2E3,1.6E3,1.0E4,0.13,2.22,3.44,0,,,
12,2.33,2.29,2.51,650.1641,650.1639,650.1647,4.2E4,5.1E3,1.9E3,4.2E4,0,,,,,,,,,DETECTED,650.1641,650.1639,650.1647,2.33,2.29,2.51,4.2E4,5.1E3,1.9E3,4.2E4,0.13,2.58,3.82,0,,,
13,2.33,2.29,2.46,1268.7786,1268.7763,1268.7797,1.4E4,1.4E3,1.6E3,1.4E4,0,,,,,,,,,DETECTED,1268.7786,1268.7763,1268.7797,2.33,2.29,2.46,1.4E4,1.4E3,1.6E3,1.4E4,0.11,2.02,3.05,0,,,
14,2.33,2.29,2.46,1269.7788,1269.7757,1269.7806,1.2E4,1.3E3,1.8E3,1.2E4,0,,,,,,,,,DETECTED,1269.7788,1269.7757,1269.7806,2.33,2.29,2.46,1.2E4,1.3E3,1.8E3,1.2E4,0.11,2.02,3.05,0,,,
15,2.35,2.29,2.46,477.2380,477.2375,477.2384,9.3E3,9.3E2,1.2E3,9.3E3,0,,,,,,,,,DETECTED,477.2380,477.2375,477.2384,2.35,2.29,2.46,9.3E3,9.3E2,1.2E3,9.3E3,0.10,1.52,2.15,0,,,
16,2.35,2.30,2.43,507.4757,507.4751,507.4762,3.1E3,2.7E2,9.0E2,3.1E3,0,,,,,,,,,DETECTED,507.4757,507.4751,507.4762,2.35,2.30,2.43,3.1E3,2.7E2,9.0E2,3.1E3,0.09,1.51,2.03,0,,,
17,2.35,2.30,2.41,508.2007,508.1997,508.2014,3.2E3,2.6E2,1.1E3,3.2E3,0,,,,,,,,,DETECTED,508.2007,508.1997,508.2014,2.35,2.30,2.41,3.2E3,2.6E2,1.1E3,3.2E3,0.10,1.34,1.68,0,,,
18,2.35,2.30,2.44,508.9254,508.9251,508.9257,4.3E3,4.0E2,1.0E3,4.3E3,0,,,,,,,,,DETECTED,508.9254,508.9251,508.9257,2.35,2.30,2.44,4.3E3,4.0E2,1.0E3,4.3E3,0.11,1.69,2.38,0,,,
