row ID,row m/z,row retention time,26C sample 1.mzML Peak status,26C sample 1.mzML Peak name,26C sample 1.mzML Peak m/z,26C sample 1.mzML Peak RT,
1,100.08546647236847,2.919425,DETECTED,100.085 m/z @2.9 [26C sample 1.mzML],100.08546647236847,2.919425,
2,101.05990779726915,2.980426666666667,DETECTED,101.060 m/z @3.0 [26C sample 1.mzML],101.05990779726915,2.980426666666667,
3,101.07103908156654,11.893081666666665,DETECTED,101.071 m/z @11.9 [26C sample 1.mzML],101.07103908156654,11.893081666666665,
4,102.05507818278396,11.440411666666668,DETECTED,102.055 m/z @11.4 [26C sample 1.mzML],102.05507818278396,11.440411666666668,
5,102.06636968433304,16.204745,DETECTED,102.066 m/z @16.2 [26C sample 1.mzML],102.06636968433304,16.204745,
6,102.0854660548583,2.8982466666666666,DETECTED,102.085 m/z @2.9 [26C sample 1.mzML],102.0854660548583,2.8982466666666666,
7,103.0391249133943,10.00508,DETECTED,103.039 m/z @10.0 [26C sample 1.mzML],103.0391249133943,10.00508,
8,103.05829757784895,11.352245,DETECTED,103.058 m/z @11.4 [26C sample 1.mzML],103.05829757784895,11.352245,
9,104.05291864707218,8.115576666666666,DETECTED,104.053 m/z @8.1 [26C sample 1.mzML],104.05291864707218,8.115576666666666,
10,104.0707637971555,10.263078333333334,DETECTED,104.071 m/z @10.3 [26C sample 1.mzML],104.0707637971555,10.263078333333334,
11,104.10707970754312,11.621248333333334,DETECTED,104.107 m/z @11.6 [26C sample 1.mzML],104.10707970754312,11.621248333333334,
12,105.07014560757239,3.024915,DETECTED,105.070 m/z @3.0 [26C sample 1.mzML],105.07014560757239,3.024915,
13,105.11044406107395,11.64325,DETECTED,105.110 m/z @11.6 [26C sample 1.mzML],105.11044406107395,11.64325,
14,106.05014113053237,12.370755,DETECTED,106.050 m/z @12.4 [26C sample 1.mzML],106.05014113053237,12.370755,
15,106.08646467031292,3.152578333333333,DETECTED,106.086 m/z @3.2 [26C sample 1.mzML],106.08646467031292,3.152578333333333,
16,106.97177179751223,29.83841333333333,DETECTED,106.972 m/z @29.8 [26C sample 1.mzML],106.97177179751223,29.83841333333333,
17,107.0493550943046,6.665916666666666,DETECTED,107.049 m/z @6.7 [26C sample 1.mzML],107.0493550943046,6.665916666666666,
18,107.0704961421374,4.146748333333333,DETECTED,107.070 m/z @4.1 [26C sample 1.mzML],107.0704961421374,4.146748333333333,
19,108.06848940303946,20.01358,DETECTED,108.068 m/z @20.0 [26C sample 1.mzML],108.06848940303946,20.01358,
20,109.0286561337521,12.973581666666666,DETECTED,109.029 m/z @13.0 [26C sample 1.mzML],109.0286561337521,12.973581666666666,
21,109.07620251054529,19.45441333333333,DETECTED,109.076 m/z @19.5 [26C sample 1.mzML],109.07620251054529,19.45441333333333,
22,109.97748558655798,2.940411666666667,DETECTED,109.977 m/z @2.9 [26C sample 1.mzML],109.97748558655798,2.940411666666667,
23,109.99055473666176,11.396245,DETECTED,109.991 m/z @11.4 [26C sample 1.mzML],109.99055473666176,11.396245,
24,110.07144918998948,11.307421666666666,DETECTED,110.071 m/z @11.3 [26C sample 1.mzML],110.07144918998948,11.307421666666666,
25,111.05561799088684,8.645919999999998,DETECTED,111.056 m/z @8.6 [26C sample 1.mzML],111.05561799088684,8.645919999999998,
26,111.07463806748271,11.193751666666666,DETECTED,111.075 m/z @11.2 [26C sample 1.mzML],111.07463806748271,11.193751666666666,
27,111.08834808659333,3.323745,DETECTED,111.088 m/z @3.3 [26C sample 1.mzML],111.08834808659333,3.323745,
28,111.11711089797176,2.770078333333333,DETECTED,111.117 m/z @2.8 [26C sample 1.mzML],111.11711089797176,2.770078333333333,
29,112.05080363518752,7.673081666666667,DETECTED,112.051 m/z @7.7 [26C sample 1.mzML],112.05080363518752,7.673081666666667,
30,112.07590433795544,8.036246666666667,DETECTED,112.076 m/z @8.0 [26C sample 1.mzML],112.07590433795544,8.036246666666667,
31,112.0871119161822,22.833078333333333,DETECTED,112.087 m/z @22.8 [26C sample 1.mzML],112.0871119161822,22.833078333333333,
32,113.07123494072195,12.758748333333333,DETECTED,113.071 m/z @12.8 [26C sample 1.mzML],113.07123494072195,12.758748333333333,
33,114.05525878315349,9.669411666666667,DETECTED,114.055 m/z @9.7 [26C sample 1.mzML],114.05525878315349,9.669411666666667,
34,114.07459166485984,12.734245,DETECTED,114.075 m/z @12.7 [26C sample 1.mzML],114.07459166485984,12.734245,
35,114.09162046989873,3.131245,DETECTED,114.092 m/z @3.1 [26C sample 1.mzML],114.09162046989873,3.131245,
36,114.10290434205488,22.926578333333335,DETECTED,114.103 m/z @22.9 [26C sample 1.mzML],114.10290434205488,22.926578333333335,
37,115.03935891951441,10.027923333333332,DETECTED,115.039 m/z @10.0 [26C sample 1.mzML],115.03935891951441,10.027923333333332,
38,115.05638009516038,4.08008,DETECTED,115.056 m/z @4.1 [26C sample 1.mzML],115.05638009516038,4.08008,
39,115.08692818448642,12.300248333333334,DETECTED,115.087 m/z @12.3 [26C sample 1.mzML],115.08692818448642,12.300248333333334,
40,116.03436145838457,11.801078333333333,DETECTED,116.034 m/z @11.8 [26C sample 1.mzML],116.03436145838457,11.801078333333333,
41,116.07073840391568,22.786076666666666,DETECTED,116.071 m/z @22.8 [26C sample 1.mzML],116.07073840391568,22.786076666666666,
42,117.07415616319709,22.786076666666666,DETECTED,117.074 m/z @22.8 [26C sample 1.mzML],117.07415616319709,22.786076666666666,
43,118.08652320039543,9.121245,DETECTED,118.087 m/z @9.1 [26C sample 1.mzML],118.08652320039543,9.121245,
44,119.03548235288129,6.220411666666666,DETECTED,119.035 m/z @6.2 [26C sample 1.mzML],119.03548235288129,6.220411666666666,
45,119.05879777770157,2.940411666666667,DETECTED,119.059 m/z @2.9 [26C sample 1.mzML],119.05879777770157,2.940411666666667,
46,119.07057756039873,6.712255,DETECTED,119.071 m/z @6.7 [26C sample 1.mzML],119.07057756039873,6.712255,
47,119.08579819931118,2.919425,DETECTED,119.086 m/z @2.9 [26C sample 1.mzML],119.08579819931118,2.919425,
48,120.06574794591353,10.94108,DETECTED,120.066 m/z @10.9 [26C sample 1.mzML],120.06574794591353,10.94108,
49,120.08091517907542,6.734911666666666,DETECTED,120.081 m/z @6.7 [26C sample 1.mzML],120.08091517907542,6.734911666666666,
50,121.06513738572336,3.024915,DETECTED,121.065 m/z @3.0 [26C sample 1.mzML],121.06513738572336,3.024915,
51,121.0842719032133,6.734911666666666,DETECTED,121.084 m/z @6.7 [26C sample 1.mzML],121.0842719032133,6.734911666666666,
52,122.02713517074123,10.847745,DETECTED,122.027 m/z @10.8 [26C sample 1.mzML],122.02713517074123,10.847745,
53,122.06024673609465,12.782081666666667,DETECTED,122.060 m/z @12.8 [26C sample 1.mzML],122.06024673609465,12.782081666666667,
54,122.0747731002497,3.024915,DETECTED,122.075 m/z @3.0 [26C sample 1.mzML],122.0747731002497,3.024915,
55,122.94421871952972,3.088581666666667,DETECTED,122.944 m/z @3.1 [26C sample 1.mzML],122.94421871952972,3.088581666666667,
56,123.04420191398975,9.520913333333334,DETECTED,123.044 m/z @9.5 [26C sample 1.mzML],123.04420191398975,9.520913333333334,
57,123.05555445068235,23.07408,DETECTED,123.056 m/z @23.1 [26C sample 1.mzML],123.05555445068235,23.07408,
58,123.09193902560641,17.954748333333335,DETECTED,123.092 m/z @18.0 [26C sample 1.mzML],123.09193902560641,17.954748333333335,
59,123.89538276657481,3.4742450000000002,DETECTED,123.895 m/z @3.5 [26C sample 1.mzML],123.89538276657481,3.4742450000000002,
60,123.96758734134549,9.982086666666667,DETECTED,123.968 m/z @10.0 [26C sample 1.mzML],123.96758734134549,9.982086666666667,
61,123.99835668306676,3.024915,DETECTED,123.998 m/z @3.0 [26C sample 1.mzML],123.99835668306676,3.024915,
62,124.01557622292913,10.027923333333332,DETECTED,124.016 m/z @10.0 [26C sample 1.mzML],124.01557622292913,10.027923333333332,
63,124.03958592250683,10.075086666666666,DETECTED,124.040 m/z @10.1 [26C sample 1.mzML],124.03958592250683,10.075086666666666,
64,124.0589035454273,22.926578333333335,DETECTED,124.059 m/z @22.9 [26C sample 1.mzML],124.0589035454273,22.926578333333335,
65,124.08710178172826,6.220411666666666,DETECTED,124.087 m/z @6.2 [26C sample 1.mzML],124.08710178172826,6.220411666666666,
66,124.11191256756452,10.027923333333332,DETECTED,124.112 m/z @10.0 [26C sample 1.mzML],124.11191256756452,10.027923333333332,
67,124.17750245865744,10.050911666666668,DETECTED,124.178 m/z @10.1 [26C sample 1.mzML],124.17750245865744,10.050911666666668,
68,125.00008834650873,11.711746666666667,DETECTED,125.000 m/z @11.7 [26C sample 1.mzML],125.00008834650873,11.711746666666667,
69,125.04260695335542,10.075086666666666,DETECTED,125.043 m/z @10.1 [26C sample 1.mzML],125.04260695335542,10.075086666666666,
70,125.07114088294568,5.5019149999999994,DETECTED,125.071 m/z @5.5 [26C sample 1.mzML],125.07114088294568,5.5019149999999994,
71,125.09042798829441,6.297246666666666,DETECTED,125.090 m/z @6.3 [26C sample 1.mzML],125.09042798829441,6.297246666666666,
72,126.04340020146594,10.075086666666666,DETECTED,126.043 m/z @10.1 [26C sample 1.mzML],126.04340020146594,10.075086666666666,
73,126.05516472537722,6.44975,DETECTED,126.055 m/z @6.4 [26C sample 1.mzML],126.05516472537722,6.44975,
74,126.06532707677141,2.919425,DETECTED,126.065 m/z @2.9 [26C sample 1.mzML],126.06532707677141,2.919425,
