measured mz, measured rt, matched mz, matched rt
281.246490, 2.856080, 281.247507, 2.884905
281.247375, 2.856080, 281.247507, 2.884905
281.248260, 2.856080, 281.247507, 2.884905
281.246490, 2.877253, 281.247507, 2.884905
281.247375, 2.877253, 281.247507, 2.884905
281.248260, 2.877253, 281.247507, 2.884905
281.246490, 2.898247, 281.247507, 2.884905
281.247375, 2.898247, 281.247507, 2.884905
281.248260, 2.898247, 281.247507, 2.884905
250.153900, 2.961595, 250.155003, 2.981161
250.154648, 2.961595, 250.155003, 2.981161
250.153900, 2.980427, 250.155003, 2.981161
250.154648, 2.980427, 250.155003, 2.981161
250.155396, 2.980427, 250.155003, 2.981161
250.156143, 2.980427, 250.155003, 2.981161
250.153900, 3.003752, 250.155003, 2.981161
250.154648, 3.003752, 250.155003, 2.981161
250.155396, 3.003752, 250.155003, 2.981161
329.209808, 3.495745, 329.211121, 3.512056
329.210938, 3.495745, 329.211121, 3.512056
146.117569, 3.694412, 146.117555, 3.685397
146.117905, 3.694412, 146.117555, 3.685397
146.118240, 3.694412, 146.117555, 3.685397
131.069717, 3.716247, 131.070271, 3.731761
131.070007, 3.716247, 131.070271, 3.731761
131.070282, 3.716247, 131.070271, 3.731761
131.070572, 3.716247, 131.070271, 3.731761
131.070862, 3.716247, 131.070271, 3.731761
131.071136, 3.716247, 131.070271, 3.731761
146.117249, 3.716247, 146.117555, 3.685397
146.117569, 3.716247, 146.117555, 3.685397
146.117905, 3.716247, 146.117555, 3.685397
131.069717, 3.739413, 131.070271, 3.731761
131.070007, 3.739413, 131.070271, 3.731761
131.070282, 3.739413, 131.070271, 3.731761
131.070572, 3.739413, 131.070271, 3.731761
131.070862, 3.739413, 131.070271, 3.731761
131.071136, 3.739413, 131.070271, 3.731761
131.069717, 3.761415, 131.070271, 3.731761
131.070007, 3.761415, 131.070271, 3.731761
131.070282, 3.761415, 131.070271, 3.731761
131.070572, 3.761415, 131.070271, 3.731761
131.070862, 3.761415, 131.070271, 3.731761
131.071136, 3.761415, 131.070271, 3.731761
151.095688, 4.302412, 151.096485, 4.330697
151.096039, 4.302412, 151.096485, 4.330697
151.096390, 4.302412, 151.096485, 4.330697
151.096741, 4.302412, 151.096485, 4.330697
151.097092, 4.302412, 151.096485, 4.330697
151.097443, 4.302412, 151.096485, 4.330697
151.095688, 4.325082, 151.096485, 4.330697
151.096039, 4.325082, 151.096485, 4.330697
151.096390, 4.325082, 151.096485, 4.330697
151.096741, 4.325082, 151.096485, 4.330697
151.097092, 4.325082, 151.096485, 4.330697
151.097443, 4.325082, 151.096485, 4.330697
151.095688, 4.348413, 151.096485, 4.330697
151.096039, 4.348413, 151.096485, 4.330697
151.096390, 4.348413, 151.096485, 4.330697
151.096741, 4.348413, 151.096485, 4.330697
151.097092, 4.348413, 151.096485, 4.330697
151.097443, 4.348413, 151.096485, 4.330697
174.111755, 4.371913, 174.112470, 4.400628
174.112198, 4.371913, 174.112470, 4.400628
174.112625, 4.371913, 174.112470, 4.400628
174.113068, 4.371913, 174.112470, 4.400628
174.111755, 4.394413, 174.112470, 4.400628
174.112198, 4.394413, 174.112470, 4.400628
174.112625, 4.394413, 174.112470, 4.400628
174.113068, 4.394413, 174.112470, 4.400628
174.111755, 4.417412, 174.112470, 4.400628
174.112198, 4.417412, 174.112470, 4.400628
174.112625, 4.417412, 174.112470, 4.400628
174.113068, 4.417412, 174.112470, 4.400628
298.095947, 4.585247, 298.096837, 4.601172
298.096924, 4.585247, 298.096837, 4.601172
298.097900, 4.585247, 298.096837, 4.601172
298.095947, 4.610247, 298.096837, 4.601172
298.096924, 4.610247, 298.096837, 4.601172
298.097900, 4.610247, 298.096837, 4.601172
758.261841, 4.610247, 758.264056, 4.623274
758.265808, 4.610247, 758.264056, 4.623274
741.237000, 4.636082, 741.237507, 4.652279
741.240784, 4.636082, 741.237507, 4.652279
758.261841, 4.636082, 758.264056, 4.623274
758.265808, 4.636082, 758.264056, 4.623274
741.237000, 4.662413, 741.237507, 4.652279
741.240784, 4.662413, 741.237507, 4.652279
168.122345, 4.687413, 168.123034, 4.716093
168.122757, 4.687413, 168.123034, 4.716093
168.123169, 4.687413, 168.123034, 4.716093
168.123581, 4.687413, 168.123034, 4.716093
168.123993, 4.687413, 168.123034, 4.716093
123.054802, 4.713913, 123.055289, 4.724365
123.055061, 4.713913, 123.055289, 4.724365
123.055321, 4.713913, 123.055289, 4.724365
123.055580, 4.713913, 123.055289, 4.724365
123.055832, 4.713913, 123.055289, 4.724365
123.056091, 4.713913, 123.055289, 4.724365
168.122345, 4.713913, 168.123034, 4.716093
168.122757, 4.713913, 168.123034, 4.716093
168.123169, 4.713913, 168.123034, 4.716093
168.123581, 4.713913, 168.123034, 4.716093
168.123993, 4.713913, 168.123034, 4.716093
763.216858, 4.713913, 763.219451, 4.726864
763.220825, 4.713913, 763.219451, 4.726864
123.054802, 4.739078, 123.055289, 4.724365
123.055061, 4.739078, 123.055289, 4.724365
123.055321, 4.739078, 123.055289, 4.724365
123.055580, 4.739078, 123.055289, 4.724365
123.055832, 4.739078, 123.055289, 4.724365
123.056091, 4.739078, 123.055289, 4.724365
168.122345, 4.739078, 168.123034, 4.716093
168.122757, 4.739078, 168.123034, 4.716093
168.123169, 4.739078, 168.123034, 4.716093
168.123581, 4.739078, 168.123034, 4.716093
168.123993, 4.739078, 168.123034, 4.716093
763.216858, 4.739078, 763.219451, 4.726864
763.220825, 4.739078, 763.219451, 4.726864
223.107742, 4.868412, 223.107719, 4.877319
223.108368, 4.868412, 223.107719, 4.877319
223.107101, 4.894752, 223.107719, 4.877319
223.107742, 4.894752, 223.107719, 4.877319
223.108368, 4.894752, 223.107719, 4.877319
282.119965, 4.975247, 282.119680, 5.004335
282.120880, 4.975247, 282.119680, 5.004335
151.095688, 5.185082, 151.096485, 5.209257
151.096039, 5.185082, 151.096485, 5.209257
151.096390, 5.185082, 151.096485, 5.209257
151.096741, 5.185082, 151.096485, 5.209257
151.097092, 5.185082, 151.096485, 5.209257
151.097443, 5.185082, 151.096485, 5.209257
151.095688, 5.210083, 151.096485, 5.209257
151.096039, 5.210083, 151.096485, 5.209257
151.096390, 5.210083, 151.096485, 5.209257
151.096741, 5.210083, 151.096485, 5.209257
151.097092, 5.210083, 151.096485, 5.209257
151.097443, 5.210083, 151.096485, 5.209257
151.095688, 5.235747, 151.096485, 5.209257
151.096039, 5.235747, 151.096485, 5.209257
151.096390, 5.235747, 151.096485, 5.209257
151.096741, 5.235747, 151.096485, 5.209257
151.097092, 5.235747, 151.096485, 5.209257
151.097443, 5.235747, 151.096485, 5.209257
377.143890, 5.688747, 377.145561, 5.721764
377.145264, 5.688747, 377.145561, 5.721764
377.146637, 5.688747, 377.145561, 5.721764
377.143890, 5.716913, 377.145561, 5.721764
377.145264, 5.716913, 377.145561, 5.721764
377.146637, 5.716913, 377.145561, 5.721764
377.143890, 5.743087, 377.145561, 5.721764
377.145264, 5.743087, 377.145561, 5.721764
377.146637, 5.743087, 377.145561, 5.721764
312.128967, 5.930747, 312.130245, 5.959347
312.130035, 5.930747, 312.130245, 5.959347
312.128967, 5.957920, 312.130245, 5.959347
312.130035, 5.957920, 312.130245, 5.959347
312.128967, 5.984580, 312.130245, 5.959347
312.130035, 5.984580, 312.130245, 5.959347
268.103210, 6.220412, 268.104030, 6.233045
268.104034, 6.220412, 268.104030, 6.233045
268.104858, 6.220412, 268.104030, 6.233045
268.103210, 6.246080, 268.104030, 6.233045
268.104034, 6.246080, 268.104030, 6.233045
268.104858, 6.246080, 268.104030, 6.233045
136.061218, 6.548745, 136.061772, 6.565533
136.061523, 6.548745, 136.061772, 6.565533
136.061813, 6.548745, 136.061772, 6.565533
136.062119, 6.548745, 136.061772, 6.565533
136.062424, 6.548745, 136.061772, 6.565533
136.062714, 6.548745, 136.061772, 6.565533
136.060913, 6.572412, 136.061772, 6.565533
136.061218, 6.572412, 136.061772, 6.565533
136.061523, 6.572412, 136.061772, 6.565533
136.061813, 6.572412, 136.061772, 6.565533
136.062119, 6.572412, 136.061772, 6.565533
136.062424, 6.572412, 136.061772, 6.565533
136.062714, 6.572412, 136.061772, 6.565533
136.061218, 6.595583, 136.061772, 6.565533
136.061523, 6.595583, 136.061772, 6.565533
136.061813, 6.595583, 136.061772, 6.565533
136.062119, 6.595583, 136.061772, 6.565533
136.062424, 6.595583, 136.061772, 6.565533
136.062714, 6.595583, 136.061772, 6.565533
298.113464, 6.686333, 298.114595, 6.704581
298.114441, 6.686333, 298.114595, 6.704581
298.115417, 6.686333, 298.114595, 6.704581
298.113464, 6.712255, 298.114595, 6.704581
298.114441, 6.712255, 298.114595, 6.704581
298.115417, 6.712255, 298.114595, 6.704581
298.113464, 6.734912, 298.114595, 6.704581
298.114441, 6.734912, 298.114595, 6.704581
298.115417, 6.734912, 298.114595, 6.704581
477.197327, 6.781085, 477.197990, 6.810220
477.199280, 6.781085, 477.197990, 6.810220
477.197327, 6.803913, 477.197990, 6.810220
477.199280, 6.803913, 477.197990, 6.810220
477.197327, 6.826412, 477.197990, 6.810220
477.199280, 6.826412, 477.197990, 6.810220
162.075958, 7.039582, 162.076084, 7.050004
162.076340, 7.039582, 162.076084, 7.050004
162.076736, 7.039582, 162.076084, 7.050004
162.076736, 7.063912, 162.076084, 7.050004
239.101669, 7.063912, 239.102633, 7.096379
239.103775, 7.063912, 239.102633, 7.096379
239.103775, 7.089583, 239.102633, 7.096379
239.101669, 7.114247, 239.102633, 7.096379
239.102371, 7.114247, 239.102633, 7.096379
239.103073, 7.114247, 239.102633, 7.096379
239.103775, 7.114247, 239.102633, 7.096379
137.045181, 7.166085, 137.045787, 7.199085
137.045486, 7.166085, 137.045787, 7.199085
137.045792, 7.166085, 137.045787, 7.199085
137.046097, 7.166085, 137.045787, 7.199085
137.046402, 7.166085, 137.045787, 7.199085
137.046707, 7.166085, 137.045787, 7.199085
137.045181, 7.191245, 137.045787, 7.199085
137.045486, 7.191245, 137.045787, 7.199085
137.045792, 7.191245, 137.045787, 7.199085
137.046097, 7.191245, 137.045787, 7.199085
137.046402, 7.191245, 137.045787, 7.199085
137.046707, 7.191245, 137.045787, 7.199085
137.045181, 7.217247, 137.045787, 7.199085
137.045486, 7.217247, 137.045787, 7.199085
137.045792, 7.217247, 137.045787, 7.199085
137.046097, 7.217247, 137.045787, 7.199085
137.046402, 7.217247, 137.045787, 7.199085
137.046707, 7.217247, 137.045787, 7.199085
159.027618, 7.217247, 159.027731, 7.224739
159.028000, 7.217247, 159.027731, 7.224739
159.028381, 7.217247, 159.027731, 7.224739
159.027252, 7.245415, 159.027731, 7.224739
159.027618, 7.245415, 159.027731, 7.224739
159.028000, 7.245415, 159.027731, 7.224739
159.028381, 7.245415, 159.027731, 7.224739
166.085587, 7.245415, 166.086255, 7.276065
166.085999, 7.245415, 166.086255, 7.276065
166.086395, 7.245415, 166.086255, 7.276065
166.086807, 7.245415, 166.086255, 7.276065
166.087204, 7.245415, 166.086255, 7.276065
166.085587, 7.270412, 166.086255, 7.276065
166.085999, 7.270412, 166.086255, 7.276065
166.086395, 7.270412, 166.086255, 7.276065
166.086807, 7.270412, 166.086255, 7.276065
166.087204, 7.270412, 166.086255, 7.276065
166.085587, 7.296913, 166.086255, 7.276065
166.085999, 7.296913, 166.086255, 7.276065
166.086395, 7.296913, 166.086255, 7.276065
166.086807, 7.296913, 166.086255, 7.276065
166.087204, 7.296913, 166.086255, 7.276065
130.049210, 7.799247, 130.049870, 7.823551
130.049484, 7.799247, 130.049870, 7.823551
130.049774, 7.799247, 130.049870, 7.823551
130.050049, 7.799247, 130.049870, 7.823551
130.050323, 7.799247, 130.049870, 7.823551
130.050613, 7.799247, 130.049870, 7.823551
217.068314, 7.799247, 217.068259, 7.824694
217.068924, 7.799247, 217.068259, 7.824694
130.049484, 7.824912, 130.049870, 7.823551
130.049774, 7.824912, 130.049870, 7.823551
130.050049, 7.824912, 130.049870, 7.823551
130.050323, 7.824912, 130.049870, 7.823551
130.050613, 7.824912, 130.049870, 7.823551
217.067719, 7.824912, 217.068259, 7.824694
217.068314, 7.824912, 217.068259, 7.824694
217.068924, 7.824912, 217.068259, 7.824694
130.049484, 7.852413, 130.049870, 7.823551
130.049774, 7.852413, 130.049870, 7.823551
130.050049, 7.852413, 130.049870, 7.823551
130.050323, 7.852413, 130.049870, 7.823551
130.050613, 7.852413, 130.049870, 7.823551
217.067719, 7.852413, 217.068259, 7.824694
217.068314, 7.852413, 217.068259, 7.824694
