"Sample","Diet","1,3-D","3-HB","3-HP","3-PP","Acetate","Acetoacetate","Alanine","Aspartate","Benzoate","Butyrate","Cadaverine","Caffeine","Choline","Dimethylamine","Ethanol","Ferulate","Formate","Glutamate","Glycerol","Glycine","Histidine","Hypoxanthine","Isobutyrate","Isoleucine","Isovalerate","Lactate","Leucine","Lysine","Maltose","Methanol","Methylamine","NDMA","Nicotinate","Phenylacetate","PAG","Proline","Propionate","Ribose","Succinate","Tyrosine","Uracil","Valerate","Valine","Xanthine","Endotoxin","Glucose","Fumarate"
"0_1_1",0,2.5,0,11.2,312.5,43720.6,12.8,91.3,62.9,23.4,5652.5,20.6,12.3,3.2,1.7,59.4,0,1.8,152.9,24.2,42.3,35.4,42.6,808.3,43.7,621.9,51.1,43.7,48.9,16.2,6.6,3.1,28.5,11.3,140.9,44.3,56,11370.6,101.1,41.2,19.1,53.7,983.8,33.2,31.9,577,219,0
"0_1_3",0,2.3,47.7,35.6,465.5,55083.7,51.8,153,133.9,24,9453.7,58.6,11.3,9.9,6.1,173.2,0,8.5,298.7,100.1,83.8,11.1,93.8,1252.9,173.8,1086.5,74.2,75.3,47.7,48.2,18.3,17.3,37.8,25.4,279.4,37.4,90,19908.9,107.4,35,30.5,78.8,1649.6,76.5,54.1,496,383,0
"0_1_5",0,3.3,34.2,18.8,363.4,39246.2,20.2,86.5,95.1,11.1,5404.9,25.1,2.8,6.9,4.7,70.7,7.8,370.9,172.4,42.1,34.2,50.8,68.8,883.5,84.2,731.2,32.7,47.6,66.4,31,21.2,8.5,15,7.1,225.4,34.9,57,10175.8,95.1,47,20.2,42.8,1012.8,44.2,56.4,545,192,4.1
"0_1_7",0,4.1,29.9,8.5,316.5,40485.1,25.2,107.3,55.8,14.4,4190.1,17.6,4.2,6,2.5,35.6,7.8,424.5,129.3,29.1,36.9,25.1,60.5,613.3,46,367.1,70.3,42,73.8,27.7,16.5,6.9,21.2,9.7,72,26.6,31.2,9471.1,155.7,45.5,8.5,42.2,494.8,35.9,52.2,529,133,2.4
"0_1_10",0,10.9,42.5,50.8,680.4,53203.9,55.1,247.9,178.9,63.7,5413.6,47.7,10.1,14.8,5.5,103.5,28.5,738.9,276.5,89.1,75.2,41.1,105.6,1716,83.7,1024.9,117.4,89.9,100.7,77.8,26.1,50.1,51.4,32.6,270.2,62.8,146.9,18645.5,433.4,99.8,56.2,131.8,1221.6,79.6,120.3,543,333,9.9
"0_2_1",0,6.2,79.2,68.5,460.7,49873.4,73.1,304.6,295,62.1,11790.3,128.8,24.8,28.4,4.3,224.6,0,15.9,694.1,217.8,244.8,35.4,107,2069.5,324.4,1439.4,231.9,238.4,142.7,75.1,36.8,27.5,124.8,27.7,365.3,96.3,298.5,20323.5,142.2,220.8,85.9,139.3,2398.6,240.1,102.3,655,526,0
"0_2_3",0,5,58.7,61.2,543.8,47158.5,63.6,226.1,230.4,56.5,12451.4,129.9,16.8,30.8,5.3,168.3,0,470.9,409.5,197.5,151.3,17.2,133.9,1492.7,236.3,1038.1,202.9,154.3,209.1,74.5,34.9,19.1,84.3,32.6,278.8,112.9,97.5,15830.5,343,58.1,62.7,138.8,2290.4,210,132.2,969,726,0
"0_2_5",0,102.6,76.9,50.1,471.4,54367.6,74,265.7,235.4,45,9485.6,105.7,27.9,24.1,5.4,207.3,0,495,240,86.5,112.6,28.8,137.5,1488,132.8,971.3,139.1,138.7,188.3,41.5,35.1,22,91.6,22.7,296.5,117.3,76.2,16250,225.3,93,40.7,96.1,1196.4,100.6,11.5,843,491,0
"0_2_7",0,2.2,54.7,37.2,540.8,48885,89.3,309,139.5,36.1,8739.3,122,19.1,27.7,6.3,206,0,681.1,471.7,73,130,43.4,81,1422.1,171.2,964.7,182.3,131.7,162.7,91.2,38.7,184.3,105.4,24.4,287.2,34.3,171.4,11492.7,537.3,78.9,71.2,115,1516,117.7,107.3,513,556,0
"15_3_1",15,16.4,35.4,69.1,402.2,52229.1,67.2,232.9,171.4,22.6,10161.7,56.2,8.8,15.4,8.2,181.8,0,11.6,257.4,64.2,127,16.5,99.2,1392.1,135,1101.7,191.7,135.5,84.9,15.4,12.3,22.8,39.4,25.1,397.7,34.4,120.5,23917,105.1,75.4,39.6,117.3,2709,128.5,56.5,686,498,0
